,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Brand,Casing,Category,Graphics Card,Index,Motherboard,Name,Price,Processor,RAM,Storage,Subcategory,Warranty,Power Supply,CPU Cooler,Keyboard,Monitor,Audio,External I/O Ports,Operating System,Optical Drive,Network & Wireless Connectivity,Dimension,Mouse,Weight,Hard Disk,Main Board,Operating system,Processor Speed,Processor Type,Lan,Interface,Camera,Color,Screen Size,Accessories,Networking,Base Frequency,Cache,Capacity,Connectivity,Cores,Dimensions,Frequency,Key Board,Max Turbo Frequency,Model,Nature ,Solid State Drive (SSD),Type,Hard Disk Drive (HDD),Threads
0,0.0,0.0,0.0,0.0,0.0,Intel,ATX Casing,Desktop,Asus GeForce GT 710 2GB DDR5 Graphics Card,1.0,ASRock H470M-HDV 10th and 11th Gen Intel M-ATX Motherboard,Intel 10th Gen Core i3-10100 Gaming PC,"36,100",Intel Core i3-10100 10th Gen Processor,TEAM ELITE U-Dimm 4GB 2400MHz DDR4 RAM,Toshiba P300 1TB Desktop PC Internal Hard Drive,Gaming PC,03 years limited warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1.0,1.0,1.0,Ryzen,Antec NX220 NX Series Mid Tower Case,Desktop,Asus Phoenix GeForce GTX 1050Ti 4GB GDDR5 Graphics,2.0,ASROCK B450M-HDV R4.0 AMD B450 Chipset Motherboard,AMD Ryzen 5 3500X Gaming PC,"63,500",AMD RYZEN 5 3500X Processor,Adata 8 GB DDR4 2666 BUS Desktop RAM,"TEAM GX2 2.5"" SATA 128GB SSD",Gaming PC,03 years warranty,"Antec Value Power VP550P PLUS 80 PLUS 230V Standard 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2.0,2.0,2.0,Ryzen,MaxGreen A361 RGB Mid Tower Case,Desktop,Asus Phoenix GeForce GTX 1050Ti 4GB GDDR5 Graphics Card,3.0,Asrock B450M Pro4-F AMD Motherboard,AMD Ryzen 5 3600 Gaming PC,"69,230",AMD Ryzen 5 3600 Processor,Team Elite Plus 8GB 3200MHz DDR4 U-DIMM Desktop RAM,"TEAM GX2 2.5"" SATA 128GB SSD",Gaming PC,03 years warranty,Antec VP550 Plus 550W Non Modular Power Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3.0,3.0,3.0,Intel,MaxGreen A361 RGB Mid Tower Case,Desktop,"EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 6GB GDDR6 Graphics Card
(1 Year warranty)",4.0,"ASRock B560M Pro4 10th and 11th Gen Micro ATX Motherboard
(3 Years warranty)",Intel Core i5-11400 11th Gen Gaming PC,"105,600","Intel 11th Gen Core i5-11400 Rocket Lake Processor
(3 Years warranty)","TEAM NIGHT HAWK 8GB 3600MHz RGB DDR4 Desktop RAM
(Lifetime warranty)","Toshiba P300 1TB Desktop PC Internal Hard Drive
(2 Years warranty)
Team MP33 256GB M.2 PCIe SSD
(5 Years warranty)",Gaming PC,,"Antec VP650 Plus 650W Non-Modular Power Supply
(3 Years warranty)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,4.0,4.0,4.0,4.0,Ryzen,Antec NX600 ATX MId-Tower Tempered Glass Case,Desktop,EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 6GB GDDR6 Graphics Card,5.0,Asrock B450M Pro4-F AMD Motherboard,AMD Ryzen 7 3700X Gaming PC,"110,500",AMD Ryzen 7 3700X Processor,TEAM NIGHT HAWK UD 8GB 3200MHz RGB DDR4 Desktop RAM,"TEAM CX2 2.5"" SATA 256GB SSD",Gaming PC,03 years warranty,Antec VP550 Plus 550W Non-Modular Power Supply,Antec Neptune 120 Advanced All in One ARGB CPU Cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,5.0,5.0,5.0,5.0,Ryzen,Antec NX800 Mid Tower Gaming Case (White),Desktop,EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 6GB GDDR6 Graphics Card,6.0,ASRock B550 Pro4 DDR4 AMD Motherboard,AMD Ryzen 5 5600X Gaming PC,"137,400",AMD Ryzen 5 5600X Processor,Team Delta RGB 8GB DDR4 3200MHz Desktop RAM,"Toshiba P300 1TB Desktop PC Internal Hard Drive
Team MP33 256GB M.2 PCIe SSD",Gaming PC,03 years warranty,Antec HCG-750 Gold Series 750W Full Modular Power Supply ,NZXT Kraken X53 240mm All-in-One Liquid CPU Cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,6.0,6.0,6.0,6.0,Intel,"Antec Dark Fleet DF700 FLUX Mid Tower ATX Gaming Case
",Desktop,ZOTAC GAMING GeForce RTX 3070 Ti Trinity 8GB GDDR6X Graphics Card,7.0,"ASROCK Z590 STEEL LEGEND WIFI 6E Intel Z500 Series Motherboard
",Intel i7-11700k 11th Gen Gaming PC,"216,200","Intel 11th Generation Core i7-11700k Rocket Lake Processor
","TEAM DELTA RGB 8GB 3600 MHZ DESKTOP RAM
",TEAM MP33 256GB M.2 PCIe SSD,Gaming PC,,"Antec HCG-750 Gold Series 750W Full Modular Power Supply
","MSI MAG CORELIQUID 360R AIO RGB Liquid CPU Cooler
","Gamdias Hermes E1B Gaming Combo
","SAMSUNG LF22T350FHW 22"" 75Hz Full HD IPS LED Monitor
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,7.0,7.0,7.0,7.0,Intel,Antec NX210 Mid Tower Gaming Case,Desktop,GIGABYTE RADEON RX 5600 XT GAMING OC 6GB GRAPHICS CARD,8.0,ASRock B460M Pro4 10th Gen DDR4 Motherboard,Intel 10th Gen Core i5-10600 Gaming PC,"82,540","Intel 10th Gen Core i5-10600 Processor	
",Team Dark 8GB DDR4 3200 Mhz Gaming Desktop Memory,"Toshiba P300 1TB Desktop PC Internal Hard Drive
Western Digital Green 120GB SSD",Gaming PC,03 years limited warranty,Antec VP650 Plus 650W Non Modular Power Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,8.0,8.0,8.0,8.0,Ryzen,MaxGreen A363BK ATX Casing,Desktop,EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 6GB GDDR6 Graphics Card,9.0,Asrock B450M Pro4-F AMD Motherboard,AMD Ryzen 5 3600X Gaming PC,"96,500",AMD Ryzen 5 3600X Processor,Team Elite Plus 8GB 3200MHz DDR4 U-DIMM Desktop RAM,"TEAM CX2 2.5"" SATA 256GB SSD",Gaming PC,"03 Years Limited Warranty
",Antec VP650 Plus 650W Non-Modular Power Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,9.0,9.0,9.0,9.0,Intel,Antec NX300 Mid Tower Gaming Case,Desktop,EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 6GB GDDR6 Graphics Card,10.0,ASRock B560 Pro4 10th and 11th Gen ATX Motherboard,Intel 10th Gen Core i7-10700 Gaming PC,"112,500",Intel 10th Gen Core i7-10700 Processor,TEAM NIGHT HAWK 8GB 3600MHz RGB DDR4 Desktop RAM,"Toshiba P300 1TB Desktop PC Internal Hard Drive
Team MP33 256GB M.2 PCIe SSD",Gaming PC,03 years limited warranty,Antec VP650 Plus 650W Non-Modular Power Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
