,Unnamed: 0,Adapter,Audio Jack Combo,Battery,Bluetooth,Brand,Card Reader,Category,Color(s),Dimensions (W x D x H),Display,Extra M.2 Slot,Graphics,HDMI,Index,Keyboard,LAN,Manufacturing Warranty,Memory,Name,Operating System,Optical Drive,Price,Processor,Storage,Subcategory,Supported SSD Type,USB (s),WebCam,Weight,Wi-Fi,Audio,Extra RAM Slot,Office,Special Feature,Chipset,Extra HDD Slot,VGA,Body Material
0,0.0,AC Adapter,Yes,"4-cell Lithium-Ion (Li-Ion), 230 W Maximum Power Supply Wattage
",Bluetooth 5.2,Acer,No,Laptop,Abyss Black,22.90 mm x 363 mm x 255 mm,"15.6-inch FHD (1920 x 1080) 300Hz IPS Anti-glare LED Backlight Non-Touch Narrow Border WVA Display
",,NVIDIA GeForce RTX 3070 8GB GDDR6 Graphics,1x HDMI,1001.0,"Keyboard: Yes
Keyboard Backlight: Yes
Multi-touch Gesture

","Ethernet Technology
Gigabit Ethernet",02 years warranty,"32GB DDR4 3200MHz RAM
","Acer Predator Helios 300 PH315-54-78C9 Core i7 11th Gen RTX 3070 8GB Graphics 15.6"" FHD 300Hz Gaming Laptop",Windows 11 Home,No,"235,000"," Intel Core i7-11800H (24M Cache, 2.30 GHz up to 4.60 GHz)","512GB PCIe NVMe Gen 4 SSD
1TB 7200RPM HDD
",Gaming Laptop,PCIe NVMe ,"Number of USB 3.2 Gen 1 Type-A Ports x 2
Number of USB 3.2 Gen 2 Type-A Ports x 1
Number of USB 3.2 Gen 2 Type-C Ports x 1","Yes
","2.50 kg

",IEEE 802.11 a/b/g/n/ac/ax,,,,,,,,
1,1.0,135 W,Yes,4-cell Lithium Ion (Li-Ion),,Acer,,Laptop,Shale Black,23.90 x 23.90 x 255 mm,"15.6"" Full HD (1920 x 1080) ComfyView LED In-plane Switching (IPS), 144Hz Technology",No Extra SSD Slot,NVIDIA GeForce RTX 3050Ti 4GB GDDR6 Graphics,1 x HDMI	,1002.0,,"Network (RJ-45): Yes
Gigabit Ethernet",2 Years Warranty,16GB 3200MHz DDR4 SDRAM,"Acer Nitro 5 AN515-45-R4TJ Ryzen 7 256GB SSD RTX 3050Ti 4GB Graphics 15.6"" FHD 144Hz Gaming Laptop",Windows 11 Home,RGB Backlit Keyboard,"155,000","AMD Ryzen 7 5800H Processor (8-core, 16-thread, 20MB cache, up to 4.4 GHz)","256GB PCIe NVMe SSD
1TB  7200rpm HDD",Gaming Laptop,,"Total Number of USB Ports: 3
USB Type-C: Yes
USB Type-C Detail: USB Type-C port: USB 3.2 Gen 2 (up to 10 Gbps); USB charging 5 V; 3 A",,2.40 kg,IEEE 802.11ax,2 Stereo Speakers,Yes (update up to 32GB),,,,,,
2,2.0, AC Adapter,"1 x Audio Line Out
1 x Headphone Jack","4-cell Li-ion battery, Lithium-Ion (Li-Ion), 57.5 Wh",Bluetooth 5.1,Acer,,Laptop,Shale Black,Height: 23.90 mm x Width: 363.4 mm x Depth: 255 mm,"15.6 Inch Full HD (1920x1080) IPS Display, 144HZ, NTAG (IPS) + 16:9 AR ; Viewing angle (H x V) 170/160",,"NVIDIA GeForce RTX 3050 with 4GB Graphics	
",HDMI 2.0 (High-speed) x 1,1003.0,RGB Backlight Keyboard,,02 Years Warranty (battery & adapter 1 year),8GB DDR4 3200MHz,"Acer Nitro 5 AN515-57-52QS Core i5 11th Gen RTX 3050 4GB Graphics 15.6"" FHD 144hz Gaming Laptop",Windows 11 Home,,"108,000","Intel Core i5-11400H Processor (12M Cache, 2.70 GHz up to 4.50 GHz)","256GB M.2 NVMe SSD
1TB HDD",Gaming Laptop,,"Number of USB 3.2 Gen 1 Type-A Ports x 2
Number of USB 3.2 Gen 2 Type-A Ports x 1
Number of USB 3.2 Gen 2 Type-C Ports x 1
",Acer HD Webcam,2.30 kg,IEEE 802.11 a/b/g/n/ac/ax,"Audio Details: Speakers
Speaker Description: Dual 2W speakers DTS X:Ultra Audio",Yes,,,,,,
3,3.0,AC Adapter,Yes,"4-cell Lithium-Ion (Li-Ion), 230 W Maximum Power Supply Wattage
",Bluetooth 5.2,Acer,No,Laptop,Abyss Black,22.90 mm x 363 mm x 255 mm,"Screen Size: 15.6""
Display Screen Type: LCD
Display Screen Technology: ComfyView
In-plane Switching (IPS) Technology: 
Screen Mode: Full HD
Backlight Technology: LED
Screen Resolution: 1920 x 1080
Standard Refresh Rate: 165 Hz",,NVIDIA GeForce RTX 3060 6GB GDDR6 Graphics,1x HDMI,1004.0,"Keyboard: Yes
Keyboard Backlight: Yes
Multi-touch Gesture

","Ethernet Technology
Gigabit Ethernet",02 years warranty,"16GB DDR4 3200MHz RAM
","Acer Predator Helios 300 PH315-54-77MK Core i7 11th Gen RTX 3060 6GB Graphics 15.6"" QHD 165Hz Gaming Laptop",Windows 11 Home,No,"199,000"," Intel Core i7-11800H (24M Cache, 2.30 GHz up to 4.60 GHz)","512GB PCIe NVMe Gen 4 SSD
1TB 7200RPM HDD
",Gaming Laptop,PCIe NVMe ,"Number of USB 3.2 Gen 1 Type-A Ports x 2
Number of USB 3.2 Gen 2 Type-A Ports x 1
Number of USB 3.2 Gen 2 Type-C Ports x 1","Yes
","2.50 kg

",IEEE 802.11 a/b/g/n/ac/ax,,,,,,,,
4,4.0,135 W,Yes,4-cell Lithium Ion (Li-Ion),,Acer,,Laptop,Shale Black,23.90 x 23.90 x 255 mm,"15.6"" Full HD (1920 x 1080) ComfyView LED In-plane Switching (IPS), 144Hz Technology",No Extra SSD Slot,NVIDIA GeForce RTX 3060 GDDR6 6GB Graphics,1 x HDMI	,1005.0,RGB Backlit Keyboard,"Network (RJ-45): Yes
Gigabit Ethernet",2 Years Warranty,16GB 3200MHz DDR4 SDRAM,"Acer Nitro 5 AN515-45-R7BF Ryzen 5 16GB RAM 256GB SSD RTX 3060 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",Windows 11 Home,,"145,000","AMD Ryzen 5 5600H (L2 3MB & L3 16MB Cache, 3.3GHz Up to 4.2GHz)
","256GB PCIe NVMe SSD
1TB  7200rpm HDD",Gaming Laptop,,"Total Number of USB Ports: 3
USB Type-C: Yes
USB Type-C Detail: USB Type-C port: USB 3.2 Gen 2 (up to 10 Gbps); USB charging 5 V; 3 A",,2.40 kg,IEEE 802.11ax,2 Stereo Speakers,Yes (update up to 32GB),,,,,,
5,5.0,AC Adapter,Yes,"4-cell Lithium-Ion (Li-Ion), 230 W Maximum Power Supply Wattage
",Bluetooth 5.2,Acer,No,Laptop,Abyss Black,22.90 mm x 363 mm x 255 mm,"Screen Size: 15.6""
Display Screen Type: LCD
Display Screen Technology: ComfyView
In-plane Switching (IPS) Technology: 
Screen Mode: Full HD
Backlight Technology: LED
Screen Resolution: 1920 x 1080
Standard Refresh Rate: 165 Hz",,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6 Graphics,1x HDMI,1006.0,"Keyboard: Yes
Keyboard Backlight: Yes
Multi-touch Gesture

","Ethernet Technology
Gigabit Ethernet",02 years warranty,"16GB DDR4 3200MHz RAM
","Acer Predator Helios 300 PH315-54-736E Core i7 11th Gen RTX 3050 Ti 4GB Graphics 15.6"" QHD 165Hz Gaming Laptop",Windows 11 Home,No,"175,000"," Intel Core i7-11800H (24M Cache, 2.30 GHz up to 4.60 GHz)","512GB PCIe NVMe Gen 4 SSD
1TB 7200RPM HDD
",Gaming Laptop,PCIe NVMe ,"Number of USB 3.2 Gen 1 Type-A Ports x 2
Number of USB 3.2 Gen 2 Type-A Ports x 1
Number of USB 3.2 Gen 2 Type-C Ports x 1","Yes
","2.50 kg

",IEEE 802.11 a/b/g/n/ac/ax,,,,,,,,
6,6.0,200 W Slim Smart external AC power adapter,1 x headphone/microphone combo,"HP Long Life 6-cell, 83 Wh Li-ion polymer Battery	","Bluetooth 5 combo, non-vPro",HP,1 x SD 4.0 media card reader,Laptop,Turbo Silver,13.93 x 9.24 x 0.70 in (non touch),"15.6"" diagonal, 4K UHD (3840 x 2160), IPS, narrow bezel, anti-glare, 400 nits, 72% NTSC",,"Integrated: Intel UHD Graphics
Discrete: NVIDIA GeForce RTX 2070 with Max-Q Design (8 GB GDDR6 dedicated)",,1007.0,"HP Premium Quiet Keyboard – spill-resistant, full-size, backlit keyboard with programmable key
",,"3 Year (Battery, Adapter 1 Year)",16 GB DDR4-3200 SDRAM (onboard),"HP ZBook Create G7 Core i7 10th Gen 1TB SSD RTX 2070 8GB Graphics 15.6"" UHD Laptop",Windows 10 Pro 64,,,"Intel Core i7-10750H (2.6 GHz base frequency, up to 5.0 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 6 cores)
",1 TB PCIe NVMe TLC SED SSD,Gaming Laptop,PCIe NVMe TLC SED,"2 x SuperSpeed USB Type-C 10Gbps signaling rate
1 x SuperSpeed USB Type-A 5Gbps signaling rate (charging)","720p HD IR camera
",Starting at 4.23 lb,Intel Wi-Fi 6 AX201 (2x2) ,"Audio by Bang & Olufsen, stereo speakers (2 tweeters & 2 woofers), HP World Facing Microphone dual array digital microphones, functions keys for volume up and down, combo microphone/headphone jack, HD audio with 150Hz Bass Roll off",,"Microsoft Office Home & Student
","HP Fingerprint Sensor
Trusted Platform Module TPM 2.0 Embedded Security Chip",,,,
7,7.0,150 W Slim Smart external AC power adapter,Yes,"HP Long Life 6-cell, 83 Wh Li-ion polymer",Bluetooth 5,HP,1x Smart card reader,Laptop,,35.94 x 23.47 x 2.29 cm (14.15 x 9.21 x 0.9 in),"15.6"" diagonal, 4K UHD (3840 x 2160), IPS, Anti-glare, 600 nits, 100% DCI-P3",Yes,NVIDIA Quadro T1000 with Max-Q Design (4 GB GDDR6 dedicated),"1 x HDMI
1 x HDMI 2.0b with discrete; HDMI 1.4 with UMA",1008.0,"HP Premium Quiet Keyboard
Full-size, spill-resistant, backlit
Programmable Key, with sperate numeric keypad
Clickpad with glass surface, multi-touch gestures and taps enabled
Clickpad with multi-touch gestures enabled (taps enabled as default)
Microsoft Precision Touchpad default gestures supported","Intel I219-LM GbE, vPro
RJ-45 (Ethernet) port","3 Year (Battery, Adapter 1 Year)",16 GB DDR4-2666 ECC SDRAM,"HP ZBook Studio G7 Xeon W-10885M 15.6"" UHD Mobile Workstation Laptop",Windows 10 Pro,,,"Intel Xeon W-10885M Processor (16M Cache, 2.40 GHz up to 5.30 GHz)",1 TB PCIe NVMe M.2 SSD,Gaming Laptop,PCIe M.2 NVMe (Maximum 4 TB through two M.2 NVMe drives),"1 x USB 3.1 Gen 1 Type-A port (charging)
2 x USB 3.1 Gen 1
1 x USB Type-C port with Thunderbolt 3, pass through support DispalyPort 1.2, USB 3.1 Gen 2, with BC 1.2 support",720p HD webcam with IR,Starting at 1.9 kg (4.19 lb),"Intel Wi-Fi 6 AX201 (2x2)
Optional Near Field Communication (NFC) module","HP Audio
Dual stereo speakers
dual array digital microphone3
Functions keys for volume up and down
Combo microphone/headphone jack
HD audio",Yes. Up to 32GB Upgradeable,,"HP Fingerprint Sensor
For Windows 10, Trusted Platform Module (TPM) 2.0 (FIPS 140-2 Level 2 Certified)",Intel WM490,,,
8,8.0,200 W Slim Smart external AC power adapter,1 x headphone/microphone combo,"HP Long Life 6-cell, 83 Wh Li-ion polymer Battery	","Bluetooth 5 combo, non-vPro",HP,1 x SD 4.0 media card reader,Laptop,Silver,13.93 x 9.24 x 0.70 in,"15.6"" diagonal, 4K UHD (3840 x 2160), IPS, narrow bezel, anti-glare, 400 nits, 72% NTSC",,"Integrated: Intel UHD Graphics
Discrete: NVIDIA GeForce RTX 2080 Super with Max-Q Design (8 GB GDDR6 dedicated)",,1009.0,"HP Premium Quiet Keyboard – spill-resistant, full-size, backlit keyboard with programmable key
",,"3 Year (Battery, Adapter 1 Year)
",32 GB DDR4-3200 SDRAM (onboard),"HP ZBook Create G7 Core i9 10th Gen RTX 2080 8GB Graphics 15.6"" UHD Laptop",Windows 10 Pro 64,,,"Intel Core i9-10885H Processor (16MB Cache, 2.40 GHz to 5.30 GHz)",1 TB PCIe NVMe TLC SED SSD,Gaming Laptop,PCIe NVMe TLC SED,"2 x SuperSpeed USB Type-C 10Gbps signaling rate
1 x SuperSpeed USB Type-A 5Gbps signaling rate (charging)","720p HD IR camera
",Starting at 4.23 lb,Intel Wi-Fi 6 AX201 (2x2) ,"Audio by Bang & Olufsen, stereo speakers (2 tweeters & 2 woofers), HP World Facing Microphone dual array digital microphones, functions keys for volume up and down, combo microphone/headphone jack, HD audio with 150Hz Bass Roll off",,,"HP Fingerprint Sensor
Trusted Platform Module TPM 2.0 Embedded Security Chip",,,,
9,9.0,HP Smart 45 W External AC Power Adapter,Yes,"HP Long Life 3-cell, 56 Wh Li-ion polymer",Bluetooth 5 combo,HP,1x smart card reader,Laptop,Silver,35.95 x 23.36 x 1.92 cm,"15"" diagonal, FHD (1920 x 1080), IPS, anti-glare, 400 nits, 100% sRGB",,NVIDIA Quadro P520 (4 GB GDDR5 dedicated) ,1 x HDMI,1010.0,"HP Premium Quiet Keyboard, full-size, spill-resistant, backlit, with drain and DuraKeys, clickpad with image sensor and glass surface, multi-touch gestures and taps enabled
Dual pointstick; Clickpad with multi-touch gestures enabled, taps enabled as default; Microsoft Precision Touchpad Default Gestures Support",,"3 Year (Battery, Adapter 1 Year)","8GB DDR4 2666MHz RAM 
","HP ZBook Firefly 15 G7 Core i7 10th Gen 15"" FHD Mobile Workstation Laptop",Windows 10 Pro,,,"Intel Core i7-10510U Processor (8M Cache, 1.80 GHz up to 4.90 GHz)",512GB PCIe SSD ,Gaming Laptop,PCIe,"2 x USB 3.1 Gen 1
2 x USB Type-C (Thunderbolt 3)",720p HD webcam with IR; 720p HD webcam,Starting at 1.75 kg,"Intel Wi-Fi 6 AX201 (2x2)
Optional Near Field Communication (NFC) module","Audio by Bang & Olufsen, dual stereo speakers, HP World Facing Microphone dual array digital microphone, functions keys for volume up and down, combo microphone/headphone jack,  HD audio",Yes. Up to 32GB Upgradeable,,"Fingerprint reader
Security lock slot
Trusted Platform Module TPM 2.0 Embedded Security Chip
",Intel Integrated SoC,,,
