,Aspect Ratio,Brand,Brightness,Category,Color Support,Contrast Ratio,D-Sub,Dimension,Display Type,Index,Manufacturing Warranty,Name,Panel Type,Power Consumption,Price,Refresh Rate,Resolution,Response Time,Screen Size,Subcategory,Tilt,Type,VGA,Viewing Angle,Weight,HDMI,Others,Others Features,Curvature,Low Blue Light,Flicker Free,Connectivity,Warranty,Audio Jack,Color Temperature Selection,Other Features,Display Port,Free Sync Support,Others ,Speakers,USB Port(s),DVI,G-Sync Support,Display Colors,Panel Size,Pixel Pitch,True Resolution,Aspect ratio,Contrast  Ratio,Flash,Memory,Power,Response time,Storage,Interface,Operating system 
0,16:9,AOC,200,Monitor,16.7 Million,"Contrast (dynamic) : 20M:1
Contrast (static) : 700:1",Yes,47.68x437.37x271.6 mm,LED,2500.0,03 Years Warranty,AOC E970SWN5 18.5 inch LED Backlit Monitor,TN,100 - 240V 50/60Hz,"9,000",60Hz,1366 x 768 PX,5ms,18.5,AOC,-5/15,Internal,Yes,90/65,2.15 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:9,AOC,200 cd/m²,Monitor,16.7MHz,600 : 1,,437.37 x 273.1 x 47.98 mm,LED,2501.0,3 Years,"AOC E970SWHEN 18.5"" HDMI LED Monitor",TN,"100-240V AC, 50/60Hz","9,200",60Hz,1366 × 768 @ 60Hz,5 ms,"18.5""",AOC,,Internal,Yes,"R/L 90 (Typ.), U/D 65 (Typ.) (CR>10)",1.78 Kg,Yes,"Power Source: 100 - 240V 50/60Hz
",Vesa Wallmount: 75 x 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Lenovo,200 cd/m²,Monitor,16.7 Million,600:1,,"179.88 x 344.66 x 448.4 mm, 7.08 x 13.57 x 17.65 inches",WLED,2502.0,3 years,Lenovo D19-10 18.5 Inch HD HDMI VGA Monitor,TN,"9W Typ, 12W Max, <0.3W sleep/off, <0.3W switch-off","9,400",,1366 x 768,5ms,46.99cms (18.5),Lenovo,Tilt Angle (-5° / 22°),"100 - 240 VAC, 50-60Hz",1 x VGA,,"2.36 kg, 5.20 lbs",1 x HDMI 1.4,,,Flat,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
3,(16:9),Dell,,Monitor,Color Gamut,600 : 1,,438 x 342 x 147 mm ,,2503.0,3 Years Warranty,"Dell D1918H 18.5 Inch LED Monitor (VGA, HDMI)",LED,100 VAC to 240 VAC,"9,500",,1366 x 768 at 60 Hz,5 ms typical (black to white),18.5 inches,Dell,5° forward or 15° backward (± 2),AC,Yes,,,HDMI (v 1.4),"Active Off: Less than 0.3 W
Switched Off: Less than 0.3 W","Panel Technology, SurfaceTwisted Nematic, Anti-glare",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
4,,PHILIPS,"200  cd/m²
",Monitor,,"700:1
",,,,2504.0,,PHILIPS 18.5” 193V5LSB2 LED MONITOR,,,"9,600",,"1366 x 768 @ 60 Hz
","5  ms
",18.5 inch / 47 cm,PHILIPS,,,,,,,,,,,,VGA (Analog ),03 Years Warranty ,,,,,,,,,,,,,,,,,,,,,,,
5,,Dell,,Monitor,,600:1,,,,2505.0,,Dell E1916HV 18.5 Inch LED Monitor (VGA),,,"9,900",,1366 x 766,5 ms,"18.5""",Dell,,,,,,,,,,,,,3 Years,,,,,,,,,,,,,,,,,,,,,,,
6,16:9,Viewsonic,200 cd/m2 (typ),Monitor,,"Static Contrast Ratio: 600:1 (typ)
Dynamic Contrast Ratio: 50M:1",,"Packaging (mm): 502 x 349 x 105
Physical (mm): 438 x 344 x 170
Physical Without Stand (mm): 438 x 271 x 48",,2506.0,3 Years ,"Viewsonic VA1903H 18.5"" FHD LED Monitor ",TN,"Eco Mode (Conserve): 9.5W
Eco Mode (optimized): 12.5W
Consumption (typical): 15.3W
Consumption (max): 17W
Voltage: AC 100-240V, 50/60 Hz
Stand-by: 0.5W","10,000",60Hz,(1366 x 768) WXGA,5ms,"Display Size (in.): 19
Viewable Area (in.): 18.5",Viewsonic,-3º / 18º,Internal,1 x VGA,"90º horizontal, 65º vertical","Net (kg): 2.1
Net Without Stand (kg): 1.8
Gross (kg): 3",1 x HDMI (v1.4),,"Power in: 3-pin Socket (IEC C14 / CEE22)
Kensington Lock Slot: 1
VESA Compatible: 75 x 75 mm
",,Yes,Yes,,,1 x 3.5mm Audio Out,"Temperature: 32°F to 104°F (0°C to 40°C)
Humidity (non-condensing): 20% to 90%",,,,,,,,,,,,,,,,,,,,,
7,"16:9
",HP,"200 nits
",Monitor,,600:1 (static),,"Dimensions With Stand (W x D x H): 44.14 x 15.7 x 34.58 cm
Dimensions (W x D x H): 44.14 x 5.07 x 27.78 cm
Minimum dimensions (W x D x H): 17.38 x 2 x 10.94 in
Product dimensions with stand (W x D x H): 17.38 x 6.18 x 13.61 in","HD LED
",2507.0,03 Years warranty,HP V19 18.5 Inch HD Monitor,TN,"10 W (maximum), 9 W (typical), 0.5 W (standby)
","10,100",60Hz,"1360x768 (WxH)
","5ms
","18.5""",HP,,,1 x VGA Port,Horizontal Viewing Angle: 90 degree,5.4 lb,,"Input voltage 100 to 240 VAC
",,,Yes,,,,,"5 - 35 degree C
",,,,,,,,,,,,,,,,,,,,,
8,16:9,HP,200 nits,Monitor,,600:1,,"Dimensions without stand (W x D x H)	44.14 x 5.07 x 27.78 cm
Dimensions with stand (W x D x H)	44.14 x 15.7 x 34.58 cm",TN,2508.0,03 years warranty,"HP P19V G4 18.5"" HD Monitor",,"10 W (maximum), 9 W (typical), 0.5 W (standby)
","10,200", 60 Hz,"HD WXGA(1366 x 768)
",5ms on/off,"18.5""",HP,-5 to +20°,Input voltage 100 to 240 VAC,1 x VGA,,2.45 kg,,Operating temperature range: 5 to 35°C,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,LG,,Monitor,,600 : 1,,,,2509.0,,LG 19M38A 18.5 Inch Monitor,,,"10,400",,1366 x 768,5ms,"18.5"" / 47cm",LG,,,,,,,,,,,,Power Adapter,03 Years ,,,"Key Number (Power Key Included)	6  II
Key Type	Tact type  II
LED Color(On mode)	White  II
LED Color(Power save mode)	White Blinking  II
Key Location	Bottom  II",,,,,,,,,,,,,,,,,,,,
10,16:9,HP,200 nits,Monitor,,600:1 static,,"Dimensions With Stand (W x D x H): 44.14 x 15.7 x 34.58 cm
Dimensions (W x D x H): 44.14 x 5.07 x 27.78 cm",,2510.0,03 years warranty,"HP P19b G4 18.5"" Monitor",TN,"10 W (maximum), 9 W (typical), 0.5 W (standby)","11,100",60Hz,WXGA (1366 x 768),5ms on/off,"18.5""",HP,,Input voltage 100 to 240 VAC,1 x VGA,,2.45 kg,1 x HDMI 1.4 (with HDCP support),,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Dell,,Monitor,,600:1,,,,2511.0,,"Dell E2016HV 19.5"" LED Monitor",,,"11,400",,1600 x 900 at 60 Hz,5 ms,"19.5""",Dell,,,,,,,,,,,,,03 Years,,,,,,,,,,,,,,,,,,,,,,,
12,16:9,HP,200 cd/m²,Monitor,,"10000000:1 dynamic
600:1 static",,462.6 x 190 x 35336 mm,,2512.0,3 Years,"HP P204v 19.5 Inch HD LED Monitor (HDMI, VGA)",,"16 W (maximum)
15 W (typical)
0.3 W (standby)","11,400",,"19.5""",5 ms gray to gray,,HP,-5 to +25°,AC: Input voltage 100 to 240 VAC,VGA x 1,"50° vertical
90° horizontal",2.81 kg,HDMI 1.4  x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16:9,AOC,200 cd/m²,Monitor,16.7 Million,"Static: 700 : 1
Dynamic: 20M:1",,503 x 311 x 48 mm,LED,2513.0,3 Years,"AOC E2270SWHN 21.5"" Full HD LED Monitor",TN,19 watt,"11,600",60Hz,1920x1080 PX,5 ms,"21.5""",AOC,-5/+15 °,Internal,Yes,90/65 º,2.7 Kg,Yes,,Vesa Wallmount: 100 x 100 mm,,,,,,Headphone out (3.5mm),,,,,,,,,,,,,,,,,,,,,,
14,16:9,HP,250 nits,Monitor,,1000:1 static,,"Dimensions without stand (W x D x H): 50.5 x 42 x 31.02 cm
Dimensions with stand (W x D x H): 50.5 x 18.1 x 38.12 cm",TN,2514.0,03 years warranty.,HP V22 21.5'' LED Full HD Monitor,,"19 W (maximum), 18.5 W (typical), 0.5 W (standby)","13,800",,FHD (1920 x 1080),"5ms (on/off)
","21.5""",HP,-5 to +20°,Input voltage 100 to 240 VAC,1 x VGA,,2.85 kg,1 x HDMI 1.4,Operating temperature range: 5 to 35°C,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16:9,LG,"250(Typ), 200(min) cd/m2",Monitor,16.7M Colors,1000:1 (Typ.),,"20.1"" x 15.6"" x 7.2""",IPS,2515.0,03  years,"LG 22MK430H-B 22"" Full HD IPS LED Monitor with AMD FreeSync",,,"14,000",,1920 x 1080,5ms (Faster),"22""",LG,-5~20 Degree,"100~240V, 50/60Hz",,178 / 178,"6.2 lbs

",Yes x 1,"Output 19V/1.3A
Power Save/Sleep Mode (Max) Under 0.3W",,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
16,16:9,HP,250 nits,Monitor,,3000:1,,"19.85 x 1.73 x 11.82 inch
Without stand.",VA,2516.0,03 years warranty.,"HP V22v 21.5"" FHD LED Monitor",,"20 W (maximum), 18.5 W (typical), 0.5 W (standby)","14,000",,FHD (1920 x 1080),7ms GtG (with overdrive),"21.5""",HP,,100 - 240 VAC 50/60 Hz,1 x VGA,,2.84 kg,1 x HDMI 1.4,,,Flat,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16:9,Dell,250 cd/m2 (typical),Monitor,16.7 Millions,"3,000:1 (typical)",,"19.9 x 15.1 x 7.0"" / 50.5 x 38.4 x 17.8 cm (with Stand)
19.9 x 11.6 x 1.9"" / 50.5 x 29.5 x 4.8 cm (without Stand)",,2517.0,03 years warranty,"Dell SE2222H 21.5"" FHD Monitor",Vertical Alignment (VA),"22 W (Typical)
14.1 W (Eco)
0.3 W (Standby)","14,500",60 Hz,1920 x 1080 Full HD,8ms gray to gray (fast)12ms gray to gray (typical),"21.5 inch
",Dell,-5 to 21°,Internal,1x VGA,178 x 178°,"5.9 lb / 2.7 kg (with Stand)
5.2 lb / 2.4 kg (without Stand)",1x HDMI 1.4 (HDCP 1.4),"AC Input Power: 100 to 240 VAC, 50 / 60 Hz",,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
18,"16.7 Million
",AOC,250 cd/m²,Monitor,Color Gamut: NTSC 87% (CIE1976) / sRGB 101% (CIE1931),3000 : 1 (Typical) 20 Million : 1 (DCR),,"Product without Stand (mm): 292.5(H) × 491.8 (W) × 35.8 (D)
Product with Stand (mm): 387.7 (H) ×491.8 (W) × 162.9 (D)",,2518.0,03 years warranty,"AOC 22B2HN 21.5"" FHD Monitor",VA,18W,"14,500",75Hz ,"1920 x 1080 (Full HD)

",7ms (GtG (BW)),"21.5""",AOC,-5° ~ 20°,Internal,,178° (H) / 178° (V) (CR > 10),"Product without Stand (kg): 2
Product with Stand (kg): 2.29",HDMI 1.4 × 1,"Power Supply: 19V DC, 1.31A",,,Yes,Yes,,,,,,DisplayPort 1.2 x 1,Freesync Premium,Flicker-free technology,No,,,,,,,,,,,,,,,,
